is_admin,id,score,created_at,surveyed_at,sessions,messages
0,4674,1,2017-01-03T02:59:19Z,2017-02-03T02:59:19Z,8,27
1,2381,4,2017-01-03T03:22:27Z,2017-02-03T03:22:27Z,90,214
0,2903,10,2017-01-03T03:49:12Z,2017-02-03T03:49:12Z,22,97
0,4610,2,2017-01-03T03:51:56Z,2017-02-03T03:51:56Z,29,86
1,1147,10,2017-01-03T05:05:31Z,2017-02-03T05:05:31Z,9,26
1,2134,3,2017-01-03T07:40:19Z,2017-02-03T07:40:19Z,4,14
0,3684,2,2017-01-03T11:04:48Z,2017-02-03T11:04:48Z,86,59
1,2055,6,2017-01-03T14:29:52Z,2017-02-03T14:29:52Z,39,153
0,4321,0,2017-01-03T15:16:30Z,2017-02-03T15:16:30Z,15,31
1,1989,1,2017-01-03T16:50:11Z,2017-02-03T16:50:11Z,9,27
0,4782,3,2017-01-03T18:03:12Z,2017-02-03T18:03:12Z,6,9
0,3352,9,2017-01-03T18:28:53Z,2017-02-03T18:28:53Z,25,81
0,2895,9,2017-01-03T18:31:37Z,2017-02-03T18:31:37Z,4,9
0,5209,8,2017-01-03T23:38:19Z,2017-02-03T23:38:19Z,6,21
0,3585,9,2017-01-04T03:12:12Z,2017-02-04T03:12:12Z,3,11
0,5034,7,2017-01-04T04:06:09Z,2017-02-04T04:06:09Z,3,11
0,3873,4,2017-01-04T09:40:03Z,2017-02-04T09:40:03Z,33,56
1,2082,3,2017-01-04T09:45:43Z,2017-02-04T09:45:43Z,14,59
0,3320,9,2017-01-04T12:42:35Z,2017-02-04T12:42:35Z,17,39
0,4094,0,2017-01-04T15:48:33Z,2017-02-04T15:48:33Z,24,86
1,657,9,2017-01-04T17:46:53Z,2017-02-04T17:46:53Z,51,179
1,1853,6,2017-01-04T18:08:23Z,2017-02-04T18:08:23Z,6,18
1,2523,5,2017-01-04T18:17:40Z,2017-02-04T18:17:40Z,3,7
0,4528,0,2017-01-04T18:32:40Z,2017-02-04T18:32:40Z,31,91
1,1805,2,2017-01-04T21:50:37Z,2017-02-04T21:50:37Z,64,160
0,3200,10,2017-01-04T22:26:44Z,2017-02-04T22:26:44Z,4,16
1,2341,6,2017-01-05T00:21:48Z,2017-02-05T00:21:48Z,3,5
0,3298,10,2017-01-05T04:46:24Z,2017-02-05T04:46:24Z,32,116
1,1733,9,2017-01-05T06:45:03Z,2017-02-05T06:45:03Z,123,417
1,1425,10,2017-01-05T08:05:43Z,2017-02-05T08:05:43Z,9,21
0,4721,1,2017-01-05T08:24:49Z,2017-02-05T08:24:49Z,5,16
0,4483,5,2017-01-05T09:36:15Z,2017-02-05T09:36:15Z,27,79
1,1566,10,2017-01-05T11:51:54Z,2017-02-05T11:51:54Z,94,375
1,457,10,2017-01-05T12:46:32Z,2017-02-05T12:46:32Z,14,33
1,1305,10,2017-01-05T13:38:29Z,2017-02-05T13:38:29Z,8,34
0,4292,4,2017-01-05T17:02:17Z,2017-02-05T17:02:17Z,4,14
0,5079,7,2017-01-05T17:20:32Z,2017-02-05T17:20:32Z,15,7
0,3858,4,2017-01-05T17:45:50Z,2017-02-05T17:45:50Z,5,9
0,2947,9,2017-01-05T18:07:38Z,2017-02-05T18:07:38Z,14,64
0,4878,1,2017-01-05T19:20:27Z,2017-02-05T19:20:27Z,108,150
0,5038,8,2017-01-05T19:44:05Z,2017-02-05T19:44:05Z,6,31
1,1286,9,2017-01-05T19:48:05Z,2017-02-05T19:48:05Z,5,17
0,4951,8,2017-01-05T19:54:25Z,2017-02-05T19:54:25Z,51,110
0,4135,0,2017-01-05T20:31:02Z,2017-02-05T20:31:02Z,13,44
0,3312,10,2017-01-05T21:41:21Z,2017-02-05T21:41:21Z,17,67
0,3973,0,2017-01-05T22:19:30Z,2017-02-05T22:19:30Z,70,248
0,4440,1,2017-01-06T00:19:57Z,2017-02-06T00:19:57Z,8,21
0,3489,10,2017-01-06T01:17:43Z,2017-02-06T01:17:43Z,28,106
1,873,9,2017-01-06T01:26:13Z,2017-02-06T01:26:13Z,12,10
1,1227,9,2017-01-06T01:34:28Z,2017-02-06T01:34:28Z,12,47
1,2582,7,2017-01-06T05:22:04Z,2017-02-06T05:22:04Z,135,479
1,439,9,2017-01-06T06:06:56Z,2017-02-06T06:06:56Z,17,28
1,2252,0,2017-01-06T07:49:52Z,2017-02-06T07:49:52Z,28,88
1,1217,9,2017-01-06T14:38:12Z,2017-02-06T14:38:12Z,19,61
1,2066,6,2017-01-06T15:16:11Z,2017-02-06T15:16:11Z,138,221
0,4835,6,2017-01-06T16:29:35Z,2017-02-06T16:29:35Z,86,215
1,102,10,2017-01-06T17:26:19Z,2017-02-06T17:26:19Z,64,336
1,1789,2,2017-01-06T17:40:08Z,2017-02-06T17:40:08Z,4,12
1,2214,0,2017-01-06T18:19:43Z,2017-02-06T18:19:43Z,5,9
1,646,9,2017-01-06T18:22:48Z,2017-02-06T18:22:48Z,136,439
1,2555,4,2017-01-06T20:18:45Z,2017-02-06T20:18:45Z,38,95
1,2081,6,2017-01-06T21:25:54Z,2017-02-06T21:25:54Z,6,18
1,373,10,2017-01-06T23:26:25Z,2017-02-06T23:26:25Z,100,491
0,5220,7,2017-01-07T01:13:50Z,2017-02-07T01:13:50Z,3,6
0,3886,6,2017-01-07T01:58:31Z,2017-02-07T01:58:31Z,7,24
0,4818,0,2017-01-07T02:21:44Z,2017-02-07T02:21:44Z,25,65
0,2858,10,2017-01-07T02:23:09Z,2017-02-07T02:23:09Z,24,72
0,4446,0,2017-01-07T04:53:16Z,2017-02-07T04:53:16Z,46,112
0,4764,4,2017-01-07T05:02:09Z,2017-02-07T05:02:09Z,8,19
1,2238,2,2017-01-07T05:30:16Z,2017-02-07T05:30:16Z,9,13
1,132,9,2017-01-07T06:24:22Z,2017-02-07T06:24:22Z,3,6
0,4074,3,2017-01-07T08:28:44Z,2017-02-07T08:28:44Z,15,48
1,822,10,2017-01-07T09:35:28Z,2017-02-07T09:35:28Z,89,375
0,3483,10,2017-01-07T09:37:57Z,2017-02-07T09:37:57Z,132,387
1,593,10,2017-01-07T14:08:53Z,2017-02-07T14:08:53Z,86,247
0,3452,10,2017-01-07T15:04:55Z,2017-02-07T15:04:55Z,8,32
0,3340,10,2017-01-07T18:02:54Z,2017-02-07T18:02:54Z,86,335
1,2642,8,2017-01-07T19:00:23Z,2017-02-07T19:00:23Z,3,9
1,92,10,2017-01-07T19:58:22Z,2017-02-07T19:58:22Z,41,148
0,3532,10,2017-01-08T03:03:34Z,2017-02-08T03:03:34Z,47,109
1,780,10,2017-01-08T04:27:26Z,2017-02-08T04:27:26Z,51,163
1,191,10,2017-01-08T06:12:05Z,2017-02-08T06:12:05Z,79,272
1,2046,1,2017-01-08T07:28:12Z,2017-02-08T07:28:12Z,39,68
0,2751,9,2017-01-08T10:11:05Z,2017-02-08T10:11:05Z,74,233
1,2097,4,2017-01-08T12:59:45Z,2017-02-08T12:59:45Z,64,258
1,164,10,2017-01-08T17:50:13Z,2017-02-08T17:50:13Z,93,329
1,146,9,2017-01-08T18:46:33Z,2017-02-08T18:46:33Z,12,53
0,3904,1,2017-01-08T19:40:25Z,2017-02-08T19:40:25Z,14,64
1,118,10,2017-01-08T21:10:55Z,2017-02-08T21:10:55Z,16,60
1,1185,10,2017-01-08T21:30:17Z,2017-02-08T21:30:17Z,52,142
0,3868,6,2017-01-08T23:31:54Z,2017-02-08T23:31:54Z,11,39
1,1918,3,2017-01-09T02:06:55Z,2017-02-09T02:06:55Z,24,69
1,1743,10,2017-01-09T02:42:06Z,2017-02-09T02:42:06Z,27,68
1,2201,4,2017-01-09T06:21:30Z,2017-02-09T06:21:30Z,27,63
0,3622,10,2017-01-09T08:46:53Z,2017-02-09T08:46:53Z,16,55
1,500,10,2017-01-09T09:13:04Z,2017-02-09T09:13:04Z,57,188
0,4706,3,2017-01-09T10:32:27Z,2017-02-09T10:32:27Z,130,333
0,4540,5,2017-01-09T10:45:24Z,2017-02-09T10:45:24Z,19,42
0,3108,9,2017-01-09T13:09:27Z,2017-02-09T13:09:27Z,4,16
0,3539,10,2017-01-09T15:09:57Z,2017-02-09T15:09:57Z,37,211
1,888,10,2017-01-09T21:06:28Z,2017-02-09T21:06:28Z,57,254
0,4849,5,2017-01-09T21:31:23Z,2017-02-09T21:31:23Z,21,40
1,2077,2,2017-01-10T09:12:26Z,2017-02-10T09:12:26Z,148,484
0,4553,6,2017-01-10T09:59:29Z,2017-02-10T09:59:29Z,6,11
0,4808,4,2017-01-10T11:38:46Z,2017-02-10T11:38:46Z,17,81
0,4251,1,2017-01-10T15:23:33Z,2017-02-10T15:23:33Z,119,274
1,2196,3,2017-01-10T16:38:05Z,2017-02-10T16:38:05Z,30,100
1,1583,10,2017-01-10T19:04:55Z,2017-02-10T19:04:55Z,6,14
1,467,9,2017-01-10T19:36:02Z,2017-02-10T19:36:02Z,4,11
0,2877,10,2017-01-10T20:38:08Z,2017-02-10T20:38:08Z,25,63
1,2314,4,2017-01-10T21:27:41Z,2017-02-10T21:27:41Z,3,6
1,2105,1,2017-01-10T23:01:25Z,2017-02-10T23:01:25Z,6,22
1,687,10,2017-01-11T00:20:34Z,2017-02-11T00:20:34Z,6,20
1,1829,1,2017-01-11T01:32:41Z,2017-02-11T01:32:41Z,22,66
1,419,9,2017-01-11T02:32:29Z,2017-02-11T02:32:29Z,96,378
1,726,10,2017-01-11T03:24:03Z,2017-02-11T03:24:03Z,6,15
1,427,10,2017-01-11T03:30:36Z,2017-02-11T03:30:36Z,49,171
1,2557,0,2017-01-11T04:43:40Z,2017-02-11T04:43:40Z,4,11
1,1137,10,2017-01-11T05:47:16Z,2017-02-11T05:47:16Z,8,33
0,2731,9,2017-01-11T06:01:57Z,2017-02-11T06:01:57Z,146,524
1,2354,2,2017-01-11T06:30:55Z,2017-02-11T06:30:55Z,5,17
0,2953,9,2017-01-11T08:14:40Z,2017-02-11T08:14:40Z,29,57
0,3020,10,2017-01-11T14:48:13Z,2017-02-11T14:48:13Z,31,148
1,1057,10,2017-01-11T15:06:04Z,2017-02-11T15:06:04Z,12,35
1,1255,10,2017-01-11T16:35:51Z,2017-02-11T16:35:51Z,129,342
1,1501,9,2017-01-11T18:42:16Z,2017-02-11T18:42:16Z,18,67
1,814,10,2017-01-11T19:03:10Z,2017-02-11T19:03:10Z,9,22
0,4174,5,2017-01-11T19:23:39Z,2017-02-11T19:23:39Z,28,99
0,4272,4,2017-01-11T22:45:39Z,2017-02-11T22:45:39Z,132,555
1,2471,3,2017-01-12T01:20:29Z,2017-02-12T01:20:29Z,20,78
0,3626,10,2017-01-12T02:02:08Z,2017-02-12T02:02:08Z,18,46
1,903,9,2017-01-12T06:49:28Z,2017-02-12T06:49:28Z,89,226
1,1665,10,2017-01-12T07:39:39Z,2017-02-12T07:39:39Z,11,35
1,1625,10,2017-01-12T11:30:08Z,2017-02-12T11:30:08Z,34,146
1,1816,2,2017-01-12T12:44:19Z,2017-02-12T12:44:19Z,23,102
0,4579,1,2017-01-12T13:27:43Z,2017-02-12T13:27:43Z,6,12
1,155,10,2017-01-12T13:48:10Z,2017-02-12T13:48:10Z,8,37
1,1205,9,2017-01-12T14:06:58Z,2017-02-12T14:06:58Z,21,73
0,4996,7,2017-01-12T16:09:28Z,2017-02-12T16:09:28Z,44,180
0,4590,6,2017-01-12T17:08:19Z,2017-02-12T17:08:19Z,25,96
1,2326,2,2017-01-12T17:38:20Z,2017-02-12T17:38:20Z,14,48
0,3460,9,2017-01-12T18:05:28Z,2017-02-12T18:05:28Z,11,40
1,1605,9,2017-01-12T19:30:17Z,2017-02-12T19:30:17Z,91,137
0,5253,7,2017-01-12T21:54:44Z,2017-02-12T21:54:44Z,3,5
1,2622,8,2017-01-12T23:57:31Z,2017-02-12T23:57:31Z,3,4
0,3378,10,2017-01-13T00:03:23Z,2017-02-13T00:03:23Z,39,147
1,1972,3,2017-01-13T03:31:03Z,2017-02-13T03:31:03Z,10,37
0,3497,9,2017-01-13T04:01:09Z,2017-02-13T04:01:09Z,23,101
1,1645,10,2017-01-13T06:21:56Z,2017-02-13T06:21:56Z,35,97
1,2390,3,2017-01-13T06:29:32Z,2017-02-13T06:29:32Z,92,277
1,1513,10,2017-01-13T09:12:00Z,2017-02-13T09:12:00Z,19,45
1,1876,4,2017-01-13T12:03:22Z,2017-02-13T12:03:22Z,8,29
1,1698,9,2017-01-13T12:21:02Z,2017-02-13T12:21:02Z,90,199
1,1505,9,2017-01-13T17:18:03Z,2017-02-13T17:18:03Z,7,35
1,996,10,2017-01-13T18:01:51Z,2017-02-13T18:01:51Z,38,81
0,4337,2,2017-01-13T18:27:49Z,2017-02-13T18:27:49Z,9,29
0,3749,0,2017-01-13T18:40:16Z,2017-02-13T18:40:16Z,120,527
0,3633,1,2017-01-13T18:55:30Z,2017-02-13T18:55:30Z,31,89
0,3650,4,2017-01-13T18:56:23Z,2017-02-13T18:56:23Z,14,41
1,2678,8,2017-01-13T21:31:29Z,2017-02-13T21:31:29Z,15,51
0,3922,4,2017-01-13T22:27:38Z,2017-02-13T22:27:38Z,19,34
0,4954,7,2017-01-14T02:55:57Z,2017-02-14T02:55:57Z,80,227
0,3087,10,2017-01-14T06:00:42Z,2017-02-14T06:00:42Z,13,14
0,4023,0,2017-01-14T07:50:29Z,2017-02-14T07:50:29Z,101,305
0,4742,1,2017-01-14T08:19:52Z,2017-02-14T08:19:52Z,17,99
0,4865,0,2017-01-14T08:30:24Z,2017-02-14T08:30:24Z,20,87
0,2909,10,2017-01-14T08:33:19Z,2017-02-14T08:33:19Z,4,14
1,976,9,2017-01-14T10:26:52Z,2017-02-14T10:26:52Z,4,10
1,2002,1,2017-01-14T13:13:32Z,2017-02-14T13:13:32Z,33,42
1,388,10,2017-01-14T13:35:45Z,2017-02-14T13:35:45Z,7,8
1,1394,10,2017-01-14T15:04:08Z,2017-02-14T15:04:08Z,49,162
1,168,10,2017-01-14T15:23:55Z,2017-02-14T15:23:55Z,4,11
0,3478,10,2017-01-14T15:38:50Z,2017-02-14T15:38:50Z,20,82
0,4312,3,2017-01-14T16:24:13Z,2017-02-14T16:24:13Z,18,69
0,3501,9,2017-01-14T17:02:45Z,2017-02-14T17:02:45Z,15,45
0,3343,10,2017-01-14T17:09:03Z,2017-02-14T17:09:03Z,6,33
1,1540,10,2017-01-14T19:45:54Z,2017-02-14T19:45:54Z,33,74
0,4442,1,2017-01-14T20:00:34Z,2017-02-14T20:00:34Z,25,91
1,2430,0,2017-01-14T22:14:42Z,2017-02-14T22:14:42Z,33,68
0,2847,9,2017-01-14T23:42:45Z,2017-02-14T23:42:45Z,5,18
1,304,9,2017-01-15T01:18:02Z,2017-02-15T01:18:02Z,8,23
0,5084,7,2017-01-15T02:46:33Z,2017-02-15T02:46:33Z,114,136
1,2001,3,2017-01-15T04:00:49Z,2017-02-15T04:00:49Z,29,110
0,4486,2,2017-01-15T08:11:30Z,2017-02-15T08:11:30Z,41,145
1,1483,9,2017-01-15T09:15:08Z,2017-02-15T09:15:08Z,6,16
0,4253,3,2017-01-15T10:01:04Z,2017-02-15T10:01:04Z,67,186
1,88,10,2017-01-15T13:15:35Z,2017-02-15T13:15:35Z,14,44
1,474,9,2017-01-15T13:18:47Z,2017-02-15T13:18:47Z,45,159
1,2546,2,2017-01-15T17:43:35Z,2017-02-15T17:43:35Z,4,7
1,1034,9,2017-01-15T20:13:49Z,2017-02-15T20:13:49Z,26,37
0,5266,7,2017-01-15T20:59:39Z,2017-02-15T20:59:39Z,14,66
0,3076,10,2017-01-15T22:50:29Z,2017-02-15T22:50:29Z,4,15
1,1220,9,2017-01-15T23:11:25Z,2017-02-15T23:11:25Z,3,8
0,4433,4,2017-01-16T00:27:19Z,2017-02-16T00:27:19Z,11,33
0,4725,1,2017-01-16T02:18:19Z,2017-02-16T02:18:19Z,135,460
1,1268,10,2017-01-16T07:54:22Z,2017-02-16T07:54:22Z,5,16
1,1091,10,2017-01-16T07:54:32Z,2017-02-16T07:54:32Z,40,163
0,2860,10,2017-01-16T09:08:55Z,2017-02-16T09:08:55Z,7,30
0,4962,8,2017-01-16T12:08:29Z,2017-02-16T12:08:29Z,11,46
0,5297,8,2017-01-16T12:40:31Z,2017-02-16T12:40:31Z,32,113
1,2364,0,2017-01-16T14:27:48Z,2017-02-16T14:27:48Z,123,447
1,2686,8,2017-01-16T17:27:26Z,2017-02-16T17:27:26Z,7,22
1,2113,0,2017-01-16T18:17:20Z,2017-02-16T18:17:20Z,94,281
0,5283,8,2017-01-16T19:15:22Z,2017-02-16T19:15:22Z,32,112
0,5181,7,2017-01-17T00:23:07Z,2017-02-17T00:23:07Z,38,132
1,251,9,2017-01-17T00:31:36Z,2017-02-17T00:31:36Z,66,134
1,825,9,2017-01-17T01:20:50Z,2017-02-17T01:20:50Z,47,123
0,4208,0,2017-01-17T02:51:09Z,2017-02-17T02:51:09Z,11,23
1,2410,2,2017-01-17T03:19:18Z,2017-02-17T03:19:18Z,15,34
0,4589,0,2017-01-17T03:36:52Z,2017-02-17T03:36:52Z,4,11
0,3546,9,2017-01-17T06:16:09Z,2017-02-17T06:16:09Z,22,64
0,4111,3,2017-01-17T06:55:04Z,2017-02-17T06:55:04Z,7,21
0,3522,9,2017-01-17T07:10:43Z,2017-02-17T07:10:43Z,8,34
0,4268,0,2017-01-17T07:18:39Z,2017-02-17T07:18:39Z,6,9
0,3091,10,2017-01-17T09:00:35Z,2017-02-17T09:00:35Z,3,4
1,1360,10,2017-01-17T10:22:56Z,2017-02-17T10:22:56Z,6,22
1,941,10,2017-01-17T11:56:24Z,2017-02-17T11:56:24Z,53,128
0,2995,9,2017-01-17T15:28:56Z,2017-02-17T15:28:56Z,6,16
1,1939,0,2017-01-17T15:34:59Z,2017-02-17T15:34:59Z,19,74
0,2797,10,2017-01-17T19:12:14Z,2017-02-17T19:12:14Z,139,269
1,2487,4,2017-01-17T20:08:52Z,2017-02-17T20:08:52Z,45,121
0,4009,5,2017-01-17T20:39:49Z,2017-02-17T20:39:49Z,25,59
0,4349,0,2017-01-17T20:49:39Z,2017-02-17T20:49:39Z,17,54
0,2817,10,2017-01-17T23:16:06Z,2017-02-17T23:16:06Z,20,50
1,818,9,2017-01-17T23:23:29Z,2017-02-17T23:23:29Z,11,25
1,152,10,2017-01-17T23:36:44Z,2017-02-17T23:36:44Z,4,10
0,3004,10,2017-01-18T00:48:47Z,2017-02-18T00:48:47Z,131,484
1,1096,10,2017-01-18T03:23:37Z,2017-02-18T03:23:37Z,11,38
1,336,10,2017-01-18T07:02:45Z,2017-02-18T07:02:45Z,80,205
1,359,10,2017-01-18T11:54:01Z,2017-02-18T11:54:01Z,7,18
0,3052,9,2017-01-18T12:31:51Z,2017-02-18T12:31:51Z,18,97
0,3300,10,2017-01-18T12:32:45Z,2017-02-18T12:32:45Z,4,9
1,231,10,2017-01-18T12:56:23Z,2017-02-18T12:56:23Z,77,325
1,1820,0,2017-01-18T14:07:14Z,2017-02-18T14:07:14Z,13,39
1,2106,3,2017-01-18T18:02:17Z,2017-02-18T18:02:17Z,17,72
1,833,10,2017-01-18T18:30:17Z,2017-02-18T18:30:17Z,22,78
1,958,9,2017-01-18T18:53:51Z,2017-02-18T18:53:51Z,29,146
0,5098,7,2017-01-18T18:56:27Z,2017-02-18T18:56:27Z,24,85
0,3809,2,2017-01-18T20:51:21Z,2017-02-18T20:51:21Z,4,16
1,402,10,2017-01-18T21:13:48Z,2017-02-18T21:13:48Z,20,54
1,1959,5,2017-01-18T21:54:47Z,2017-02-18T21:54:47Z,9,24
1,1554,10,2017-01-18T23:28:52Z,2017-02-18T23:28:52Z,24,46
1,628,10,2017-01-19T00:48:23Z,2017-02-19T00:48:23Z,6,19
0,3569,9,2017-01-19T06:02:54Z,2017-02-19T06:02:54Z,28,105
1,2462,1,2017-01-19T11:34:42Z,2017-02-19T11:34:42Z,6,17
0,4162,6,2017-01-19T13:08:31Z,2017-02-19T13:08:31Z,36,110
1,1929,3,2017-01-19T15:02:27Z,2017-02-19T15:02:27Z,43,151
0,3778,6,2017-01-19T15:46:54Z,2017-02-19T15:46:54Z,19,43
1,1245,9,2017-01-19T16:18:08Z,2017-02-19T16:18:08Z,77,132
1,1714,10,2017-01-19T17:27:45Z,2017-02-19T17:27:45Z,101,350
0,4100,0,2017-01-19T17:38:16Z,2017-02-19T17:38:16Z,4,12
0,4906,7,2017-01-19T17:39:18Z,2017-02-19T17:39:18Z,12,29
1,2577,4,2017-01-19T18:47:52Z,2017-02-19T18:47:52Z,5,20
1,329,10,2017-01-19T19:05:58Z,2017-02-19T19:05:58Z,9,30
1,926,10,2017-01-19T19:15:02Z,2017-02-19T19:15:02Z,9,37
1,677,9,2017-01-19T19:52:18Z,2017-02-19T19:52:18Z,10,30
0,5067,7,2017-01-19T20:56:40Z,2017-02-19T20:56:40Z,24,84
1,47,10,2017-01-20T00:50:33Z,2017-02-20T00:50:33Z,99,383
1,632,10,2017-01-20T01:18:54Z,2017-02-20T01:18:54Z,10,14
1,1585,10,2017-01-20T02:07:58Z,2017-02-20T02:07:58Z,138,604
0,3266,10,2017-01-20T05:19:14Z,2017-02-20T05:19:14Z,39,144
1,2665,8,2017-01-20T06:20:52Z,2017-02-20T06:20:52Z,6,24
0,3428,10,2017-01-20T07:19:52Z,2017-02-20T07:19:52Z,3,11
0,5204,7,2017-01-20T10:20:39Z,2017-02-20T10:20:39Z,3,8
1,1902,3,2017-01-20T12:47:12Z,2017-02-20T12:47:12Z,134,472
0,5235,7,2017-01-20T13:29:55Z,2017-02-20T13:29:55Z,7,19
1,25,10,2017-01-20T13:41:16Z,2017-02-20T13:41:16Z,144,273
0,3036,10,2017-01-20T14:21:24Z,2017-02-20T14:21:24Z,3,7
1,299,10,2017-01-20T14:34:54Z,2017-02-20T14:34:54Z,20,49
1,503,9,2017-01-20T14:49:07Z,2017-02-20T14:49:07Z,5,8
1,345,10,2017-01-20T15:54:22Z,2017-02-20T15:54:22Z,3,9
1,2021,2,2017-01-20T17:23:41Z,2017-02-20T17:23:41Z,5,15
1,584,10,2017-01-20T17:35:09Z,2017-02-20T17:35:09Z,4,4
0,2907,9,2017-01-20T18:50:50Z,2017-02-20T18:50:50Z,57,173
0,4916,8,2017-01-20T20:09:27Z,2017-02-20T20:09:27Z,3,15
1,1682,9,2017-01-20T21:41:19Z,2017-02-20T21:41:19Z,21,57
1,644,9,2017-01-20T21:54:40Z,2017-02-20T21:54:40Z,11,11
1,165,10,2017-01-21T00:05:09Z,2017-02-21T00:05:09Z,56,122
0,4150,4,2017-01-21T02:03:18Z,2017-02-21T02:03:18Z,93,411
0,2787,10,2017-01-21T02:41:57Z,2017-02-21T02:41:57Z,3,14
1,611,9,2017-01-21T04:03:05Z,2017-02-21T04:03:05Z,16,68
1,2330,3,2017-01-21T04:04:18Z,2017-02-21T04:04:18Z,15,42
0,3177,9,2017-01-21T04:05:27Z,2017-02-21T04:05:27Z,107,482
1,1526,9,2017-01-21T04:06:07Z,2017-02-21T04:06:07Z,11,42
0,3764,6,2017-01-21T04:49:20Z,2017-02-21T04:49:20Z,39,71
1,2316,6,2017-01-21T06:50:26Z,2017-02-21T06:50:26Z,115,308
0,5170,8,2017-01-21T07:11:04Z,2017-02-21T07:11:04Z,9,17
0,2916,10,2017-01-21T08:39:08Z,2017-02-21T08:39:08Z,137,534
0,3246,9,2017-01-21T10:06:02Z,2017-02-21T10:06:02Z,32,90
0,4894,7,2017-01-21T10:51:23Z,2017-02-21T10:51:23Z,3,8
0,4378,5,2017-01-21T11:18:55Z,2017-02-21T11:18:55Z,116,434
1,1886,6,2017-01-21T12:22:22Z,2017-02-21T12:22:22Z,29,87
1,2260,4,2017-01-21T14:38:31Z,2017-02-21T14:38:31Z,22,32
1,1449,10,2017-01-21T14:41:03Z,2017-02-21T14:41:03Z,19,79
0,3156,9,2017-01-21T15:27:23Z,2017-02-21T15:27:23Z,119,518
1,1322,9,2017-01-21T15:44:55Z,2017-02-21T15:44:55Z,6,17
1,1762,10,2017-01-21T16:39:40Z,2017-02-21T16:39:40Z,80,328
1,2123,2,2017-01-21T16:59:56Z,2017-02-21T16:59:56Z,74,224
0,2973,9,2017-01-21T19:49:10Z,2017-02-21T19:49:10Z,18,93
1,2537,3,2017-01-21T22:39:47Z,2017-02-21T22:39:47Z,143,284
1,493,10,2017-01-22T00:51:12Z,2017-02-22T00:51:12Z,27,112
1,543,10,2017-01-22T03:14:06Z,2017-02-22T03:14:06Z,27,81
0,3926,0,2017-01-22T05:19:21Z,2017-02-22T05:19:21Z,21,64
1,456,10,2017-01-22T06:07:16Z,2017-02-22T06:07:16Z,28,58
0,4039,1,2017-01-22T06:13:13Z,2017-02-22T06:13:13Z,45,223
